701)swap count : 13374, And comparison : 6687
702)swap count : 13396, And comparison : 6698
703)swap count : 13418, And comparison : 6709
704)swap count : 13440, And comparison : 6720
705)swap count : 13462, And comparison : 6731
706)swap count : 13484, And comparison : 6742
707)swap count : 13506, And comparison : 6753
708)swap count : 13528, And comparison : 6764
709)swap count : 13550, And comparison : 6775
710)swap count : 13572, And comparison : 6786
711)swap count : 13594, And comparison : 6797
712)swap count : 13616, And comparison : 6808
713)swap count : 13638, And comparison : 6819
714)swap count : 13660, And comparison : 6830
715)swap count : 13682, And comparison : 6841
716)swap count : 13704, And comparison : 6852
717)swap count : 13726, And comparison : 6863
718)swap count : 13748, And comparison : 6874
719)swap count : 13770, And comparison : 6885
720)swap count : 13792, And comparison : 6896
721)swap count : 13814, And comparison : 6907
722)swap count : 13836, And comparison : 6918
723)swap count : 13858, And comparison : 6929
724)swap count : 13880, And comparison : 6940
725)swap count : 13902, And comparison : 6951
726)swap count : 13924, And comparison : 6962
727)swap count : 13946, And comparison : 6973
728)swap count : 13968, And comparison : 6984
729)swap count : 13990, And comparison : 6995
730)swap count : 14012, And comparison : 7006
731)swap count : 14034, And comparison : 7017
732)swap count : 14056, And comparison : 7028
733)swap count : 14078, And comparison : 7039
734)swap count : 14100, And comparison : 7050
735)swap count : 14122, And comparison : 7061
736)swap count : 14144, And comparison : 7072
737)swap count : 14166, And comparison : 7083
738)swap count : 14188, And comparison : 7094
739)swap count : 14210, And comparison : 7105
740)swap count : 14232, And comparison : 7116
741)swap count : 14254, And comparison : 7127
742)swap count : 14276, And comparison : 7138
743)swap count : 14298, And comparison : 7149
744)swap count : 14320, And comparison : 7160
745)swap count : 14342, And comparison : 7171
746)swap count : 14364, And comparison : 7182
747)swap count : 14386, And comparison : 7193
748)swap count : 14408, And comparison : 7204
